,Norm,p,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
143,Both,12,314.38002,3.12203,0.0,41.90874,0.96715,0.0,36.52028,1.22937,0.0,28.47247,6.83871,0.0,,,,,,,,
144,Defector,14,9.54569,1.28781,0.0,25.48278,0.0,1.59702,0.0,7.68182,1.98983,0.0,15.53774,0.0,11.40634,0.0,,,,,,
145,Loner,14,28.95217,1.50683,0.0,4.44655,0.0,5.8203,0.0,28.32318,23.53584,0.0,21.75767,0.0,17.22245,0.0,,,,,,
146,Neither,14,3e-05,0.00538,0.0,0.24421,0.0,4.68035,0.0,459.64136,53.23132,0.0,51.5204,0.0,30.26973,0.0,,,,,,
147,Both,14,488.14716,4.93175,0.0,59.66276,0.0,1.46588,0.0,51.89631,1.12384,0.0,33.77901,0.0,4.63185,0.0,,,,,,
148,Defector,16,6.78768,0.0,1.40316,0.0,23.09389,0.0,2.69776,0.0,7.71745,0.0,2.22383,0.0,15.28169,0.0,12.22863,0.0,,,,
149,Loner,16,276.68726,0.0,10.54531,0.0,33.30153,0.0,30.41121,0.0,55.48701,0.0,27.19246,0.0,40.50274,0.0,20.42654,0.0,,,,
150,Neither,16,3e-05,0.0,0.00563,0.0,0.24956,0.0,4.78449,0.0,468.8781,0.0,58.8063,0.0,56.04516,0.0,37.13708,0.0,,,,
151,Both,16,406.65558,0.0,4.12355,0.0,51.73679,0.0,1.22614,0.0,43.41345,0.0,1.16395,0.0,29.95195,0.0,5.65756,0.0,,,,
152,Defector,18,6.80659,0.0,1.31829,0.0,23.16667,0.0,2.5196,0.0,0.0,6.69206,0.0,2.17561,0.0,15.18757,0.0,12.12966,0.0,0.0,,
153,Loner,18,112.30716,0.0,6.48055,0.0,29.03219,0.0,21.8695,0.0,0.0,51.91858,0.0,26.31964,0.0,33.56698,0.0,22.16051,0.0,0.0,,
154,Neither,18,6e-05,0.0,0.00391,0.0,0.21982,0.0,4.08823,0.0,0.0,399.20179,0.0,55.16165,0.0,56.42415,0.0,33.90887,0.0,0.0,,
155,Both,18,433.2149,0.0,4.31639,0.0,52.84536,0.0,1.29566,0.0,0.0,46.12214,0.0,1.18873,0.0,32.92719,0.0,5.3494,0.0,0.0,,
156,Defector,20,7.84444,0.0,4.29222,0.0,0.0,16.91142,0.0,8.23525,0.0,0.0,158.93966,0.0,11.83254,0.0,0.0,29.87272,0.0,14.85455,0.0,0.0
157,Loner,20,23.22115,0.0,1.15379,0.0,0.0,2.80979,0.0,2.50508,0.0,0.0,15.10376,0.0,23.59917,0.0,0.0,17.40669,0.0,15.16448,0.0,0.0
158,Neither,20,3e-05,0.0,0.00562,0.0,0.0,0.25298,0.0,4.83458,0.0,0.0,473.48826,0.0,57.22541,0.0,0.0,59.03257,0.0,35.78971,0.0,0.0
159,Both,20,230.11552,0.0,2.30124,0.0,0.0,31.89409,0.0,0.69921,0.0,0.0,29.38978,0.0,1.26196,0.0,0.0,26.05518,0.0,7.91861,0.0,0.0
160,Defector,2,108.56281,904.74278,,,,,,,,,,,,,,,,,,
161,Loner,2,927.08594,136.44588,,,,,,,,,,,,,,,,,,
162,Neither,2,9.55124,1026.23084,,,,,,,,,,,,,,,,,,
163,Both,2,1049.38102,40.70386,,,,,,,,,,,,,,,,,,
164,Defector,4,5.49925,33.20401,968.24693,83.75634,,,,,,,,,,,,,,,,
165,Loner,4,756.8856,110.65583,128.86654,52.91059,,,,,,,,,,,,,,,,
166,Neither,4,0.00901,10.45766,1013.43301,59.29452,,,,,,,,,,,,,,,,
167,Both,4,867.08142,88.91743,77.24926,29.71442,,,,,,,,,,,,,,,,
168,Defector,6,6.62846,8.57056,17.83728,939.6578,36.64816,9.59283,,,,,,,,,,,,,,
169,Loner,6,638.61972,78.40311,61.01481,173.48491,61.10425,24.18618,,,,,,,,,,,,,,
170,Neither,6,0.01103,0.51304,10.48616,1047.9215,30.89952,5.84838,,,,,,,,,,,,,,
171,Both,6,638.30697,64.03285,1.58446,54.28122,28.49518,3.20941,,,,,,,,,,,,,,
172,Defector,8,5.59389,1.70772,16.19637,4.03968,74.4601,6.54451,23.3766,14.03561,,,,,,,,,,,,
173,Loner,8,632.36479,21.94257,65.23935,54.25102,117.72403,42.94555,68.49795,24.3463,,,,,,,,,,,,
174,Neither,8,6e-05,0.00957,0.45521,8.92817,860.64754,88.68258,76.62109,30.9917,,,,,,,,,,,,
175,Both,8,510.36046,5.19053,57.69838,1.42408,49.72635,1.03166,32.61426,4.51315,,,,,,,,,,,,
176,Defector,10,11.01961,2.07186,23.60087,3.50805,0.0,31.41289,4.82618,19.71044,12.60757,0.0,,,,,,,,,,
177,Loner,10,19.85475,0.85417,2.74459,3.77687,0.0,16.57029,12.12569,29.27899,21.17979,0.0,,,,,,,,,,
