,C,D,L,_destination_path,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,alpha,beta,p,zeta
152,0.067939765273,0.024239657429,0.90781521774,/tmpdir/job/1382628.153,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,3,0.1
153,0.162449613652,0.08912809999000001,0.7484138869350002,/tmpdir/job/1382628.154,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,3,0.1
154,0.043685697145,0.022161526605999998,0.9341466306759998,/tmpdir/job/1382628.155,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,3,0.1
155,0.047645693808999995,0.026458850091999997,0.925889026683,/tmpdir/job/1382628.156,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,3,0.1
156,0.08085355873599999,0.028073294381,0.8910667816460001,/tmpdir/job/1382628.157,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,4,0.1
157,0.126457702537,0.077892947852,0.7956421193009999,/tmpdir/job/1382628.158,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,4,0.1
158,0.059207592909999995,0.030781416431,0.9100040161550002,/tmpdir/job/1382628.159,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,4,0.1
159,0.10125104169500002,0.066507946306,0.8322341980789999,/tmpdir/job/1382628.160,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,4,0.1
160,0.9616821899999999,0.024638819537999998,0.013658945249400001,/tmpdir/job/1382628.161,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,5,0.1
161,0.13358388155099998,0.086910966745,0.7794993104110002,/tmpdir/job/1382628.162,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,5,0.1
162,0.118635457861,0.06285569939,0.818497582069,/tmpdir/job/1382628.163,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,5,0.1
163,0.30468982488999996,0.047794959938,0.6475046197980001,/tmpdir/job/1382628.164,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,5,0.1
164,0.19626567152199997,0.018010856644,0.7857131954934001,/tmpdir/job/1382628.165,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,6,0.1
165,0.187962169544,0.10936119015799999,0.702665992491,/tmpdir/job/1382628.166,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,6,0.1
